x_value,total_1,total_2
0,1000,1000
1,1007,998
2,1004,993
3,1003,998
4,1008,1004
5,1007,1004
6,1004,1002
7,1005,997
8,999,999
9,1000,1000
10,1004,1001
11,1002,1001
12,996,1002
13,997,1008
14,1005,1006
15,1008,1012
16,1006,1017
17,1007,1017
18,1012,1020
19,1009,1019
20,1009,1017
21,1005,1012
22,1011,1013
23,1015,1019
24,1011,1025
25,1014,1025
26,1017,1027
27,1025,1026
28,1033,1032
29,1039,1029
30,1045,1035
31,1047,1034
32,1053,1035
33,1056,1034
34,1063,1036
35,1062,1038
36,1059,1041
37,1067,1038
38,1067,1038
39,1073,1033
40,1077,1038
41,1081,1037
42,1088,1043
43,1082,1040
44,1080,1044
45,1076,1049
46,1082,1055
47,1076,1051
48,1080,1050
49,1081,1056
50,1075,1058
51,1072,1061
52,1075,1064
53,1078,1069
54,1075,1069
55,1079,1069
56,1084,1069
57,1091,1069
58,1087,1072
59,1086,1074
60,1083,1079
61,1081,1082
62,1084,1084
63,1078,1088
64,1074,1094
65,1074,1098
66,1077,1093
67,1081,1095
68,1088,1093
69,1089,1089
70,1089,1091
71,1091,1093
72,1091,1096
73,1095,1102
74,1103,1102
75,1100,1106
76,1107,1101
77,1115,1100
78,1113,1097
79,1120,1100
80,1114,1105
81,1122,1106
82,1122,1104
83,1120,1099
84,1121,1095
85,1129,1092
86,1126,1091
87,1131,1097
88,1129,1101
89,1129,1097
90,1124,1098
91,1118,1103
92,1123,1109
93,1125,1109
94,1130,1114
95,1124,1116
96,1123,1116
97,1128,1111
98,1125,1114
99,1123,1109
100,1121,1110
101,1118,1109
102,1123,1112
103,1117,1114
104,1113,1109
105,1115,1114
106,1117,1119
107,1124,1115
108,1129,1119
109,1129,1124
110,1130,1129
111,1138,1134
112,1139,1137
113,1146,1134
114,1154,1137
115,1151,1142
116,1154,1148
117,1155,1143
118,1150,1143
119,1147,1138
120,1155,1142
121,1162,1141
122,1167,1145
123,1175,1145
124,1182,1150
125,1179,1156
126,1182,1160
127,1182,1160
128,1186,1158
129,1181,1160
130,1189,1166
131,1190,1162
132,1186,1165
133,1188,1171
134,1193,1166
135,1190,1166
136,1192,1161
137,1195,1160
138,1189,1162
139,1196,1158
140,1203,1159
141,1199,1161
142,1199,1165
143,1203,1171
144,1199,1172
145,1197,1168
146,1200,1163
147,1205,1168
148,1213,1166
149,1212,1168
150,1212,1164
151,1211,1166
152,1214,1169
153,1212,1166
154,1209,1163
155,1215,1169
156,1215,1171
157,1212,1168
158,1218,1164
159,1213,1165
160,1215,1166
161,1214,1162
162,1215,1164
163,1222,1161
164,1228,1160
165,1232,1159
166,1228,1161
167,1235,1163
168,1237,1158
169,1235,1164
170,1242,1162
171,1237,1162
172,1239,1162
173,1233,1163
174,1236,1167
175,1239,1164
176,1237,1161
177,1232,1166
178,1226,1168
179,1231,1171
180,1235,1175
181,1231,1172
182,1227,1170
183,1226,1168
184,1230,1165
185,1224,1171
186,1224,1172
187,1232,1167
188,1234,1164
189,1235,1169
190,1235,1171
191,1243,1171
192,1243,1166
193,1247,1168
194,1254,1164
195,1260,1162
196,1265,1168
197,1273,1170
198,1269,1174
199,1272,1175
200,1279,1177
201,1273,1179
202,1280,1185
203,1276,1183
204,1284,1178
205,1291,1178
206,1289,1184
207,1294,1183
208,1296,1189
209,1295,1190
210,1301,1185
211,1308,1180
212,1312,1183
213,1317,1183
214,1321,1185
215,1320,1181
216,1322,1178
217,1324,1176
218,1327,1178
219,1326,1184
220,1326,1181
221,1334,1180
222,1336,1186
223,1342,1190
224,1346,1185
225,1340,1188
226,1334,1191
227,1340,1194
228,1342,1199
229,1345,1205
230,1350,1206
231,1348,1202
232,1351,1205
233,1358,1207
234,1354,1204
235,1352,1200
236,1349,1201
237,1352,1203
238,1358,1199
239,1352,1198
240,1351,1200
241,1353,1197
242,1347,1203
243,1342,1203
244,1337,1205
245,1331,1205
246,1334,1210
247,1342,1211
248,1342,1215
249,1348,1213
250,1350,1209
251,1357,1213
252,1363,1212
253,1360,1214
254,1368,1210
255,1368,1213
256,1366,1213
257,1365,1212
258,1370,1210
259,1376,1216
260,1383,1211
261,1390,1216
262,1390,1212
263,1391,1208
264,1395,1205
265,1389,1202
266,1392,1197
267,1389,1194
268,1386,1200
269,1382,1195
270,1384,1192
271,1391,1188
272,1390,1190
273,1393,1191
274,1388,1190
275,1385,1188
276,1385,1189
277,1381,1190
278,1378,1188
279,1379,1192
280,1387,1187
281,1394,1191
282,1398,1186
283,1393,1183
284,1401,1184
285,1404,1187
286,1402,1183
287,1409,1179
288,1416,1175
289,1410,1172
290,1409,1168
291,1412,1170
292,1416,1170
293,1422,1167
294,1425,1164
295,1427,1159
296,1424,1156
297,1421,1152
298,1421,1149
299,1418,1147
300,1424,1144
301,1427,1142
302,1429,1147
303,1427,1144
304,1427,1143
305,1429,1144
306,1424,1149
307,1429,1149
308,1437,1151
309,1444,1151
310,1446,1146
311,1440,1146
312,1448,1148
313,1454,1148
314,1461,1145
315,1463,1141
316,1466,1147
317,1474,1150
318,1474,1149
319,1475,1146
320,1472,1142
321,1476,1146
322,1475,1151
323,1478,1151
324,1476,1147
325,1481,1144
326,1476,1150
327,1475,1150
328,1470,1148
329,1472,1154
330,1472,1160
331,1473,1157
332,1475,1160
333,1476,1160
334,1474,1157
335,1475,1163
336,1469,1159
337,1465,1155
338,1473,1160
339,1475,1166
340,1469,1169
341,1465,1174
342,1462,1175
343,1463,1179
344,1469,1178
345,1464,1174
346,1464,1173
347,1463,1176
348,1470,1179
349,1465,1183
350,1464,1183
351,1462,1181
352,1461,1177
353,1467,1173
354,1473,1175
355,1472,1176
356,1470,1179
357,1468,1184
358,1468,1180
359,1472,1185
360,1479,1181
361,1485,1183
362,1480,1179
363,1480,1181
364,1479,1180
365,1484,1185
366,1492,1188
367,1498,1192
368,1503,1189
369,1503,1194
370,1501,1191
371,1509,1190
372,1503,1193
373,1497,1191
374,1499,1194
375,1498,1194
376,1498,1197
377,1496,1198
378,1493,1196
379,1493,1201
380,1494,1197
381,1500,1192
382,1506,1196
383,1508,1202
384,1513,1208
385,1521,1211
386,1517,1214
387,1525,1212
388,1524,1207
389,1529,1204
390,1532,1206
391,1532,1201
392,1539,1207
393,1534,1204
394,1540,1206
395,1538,1209
396,1533,1210
397,1530,1213
398,1529,1208
399,1533,1210
400,1528,1215
401,1524,1216
402,1518,1211
403,1519,1216
404,1515,1222
405,1519,1219
406,1520,1221
407,1514,1224
408,1521,1227
409,1529,1222
410,1535,1225
411,1533,1223
412,1535,1227
413,1538,1227
414,1546,1233
415,1550,1231
416,1558,1232
417,1566,1228
418,1572,1230
419,1566,1235
420,1569,1230
421,1573,1234
422,1579,1230
423,1582,1233
424,1580,1230
425,1585,1232
426,1587,1227
427,1582,1232
428,1577,1228
429,1575,1233
430,1580,1235
431,1586,1232
432,1593,1231
433,1593,1231
434,1601,1234
435,1608,1235
436,1602,1235
437,1597,1239
438,1593,1240
439,1599,1237
440,1604,1238
441,1600,1242
442,1605,1244
443,1607,1244
444,1610,1240
445,1614,1242
446,1616,1238
447,1622,1240
448,1628,1246
449,1627,1247
450,1624,1246
451,1621,1242
452,1621,1240
453,1626,1238
454,1632,1240
455,1630,1243
456,1632,1244
457,1639,1246
458,1635,1242
459,1632,1239
460,1626,1238
461,1622,1242
462,1624,1237
463,1627,1238
464,1634,1241
465,1628,1243
466,1624,1249
467,1620,1246
468,1621,1243
469,1620,1238
470,1622,1235
471,1624,1233
472,1619,1239
473,1625,1238
474,1625,1239
475,1633,1244
476,1640,1239
477,1643,1244
478,1643,1247
479,1647,1242
480,1655,1248
481,1661,1252
482,1663,1256
483,1662,1262
484,1670,1260
485,1677,1257
486,1676,1259
487,1673,1258
488,1680,1253
489,1675,1254
490,1682,1256
491,1680,1253
492,1681,1249
493,1678,1246
494,1672,1241
495,1676,1245
496,1682,1249
497,1684,1247
498,1690,1247
499,1694,1243
500,1694,1241
501,1701,1237
502,1709,1238
503,1708,1239
504,1712,1238
505,1708,1241
506,1707,1244
507,1708,1247
508,1704,1246
509,1709,1246
510,1706,1249
511,1702,1244
512,1699,1243
513,1698,1241
514,1700,1236
515,1703,1235
516,1708,1241
517,1706,1241
518,1712,1240
519,1711,1240
520,1713,1240
521,1716,1237
522,1724,1236
523,1718,1237
524,1726,1237
525,1726,1242
526,1732,1246
527,1732,1242
528,1736,1238
529,1737,1237
530,1738,1238
531,1735,1236
532,1743,1232
533,1751,1233
534,1757,1230
535,1760,1231
536,1767,1234
537,1770,1240
538,1770,1242
539,1766,1245
540,1760,1241
541,1754,1246
542,1749,1244
543,1746,1244
544,1754,1245
545,1759,1242
546,1764,1243
547,1761,1249
548,1764,1254
549,1765,1249
550,1771,1247
551,1774,1251
552,1771,1256
553,1772,1254
554,1769,1249
555,1764,1244
556,1758,1245
557,1753,1246
558,1751,1251
559,1753,1252
560,1752,1256
561,1753,1257
562,1761,1254
563,1764,1256
564,1770,1255
565,1765,1260
566,1768,1259
567,1774,1255
568,1770,1258
569,1767,1261
570,1767,1261
571,1764,1260
572,1762,1255
